Localidad,Year,Inmigrantes
Canada,2018,303325
Canada,2019,313601
Canada,2020,284157
Canada,2021,226308
Canada,2022,492984
Newfoundland_and_Labrador,2018,1275
Newfoundland_and_Labrador,2019,1653
Newfoundland_and_Labrador,2020,1564
Newfoundland_and_Labrador,2021,884
Newfoundland_and_Labrador,2022,2843
Prince_Edward_Island,2018,2102
Prince_Edward_Island,2019,2267
Prince_Edward_Island,2020,2079
Prince_Edward_Island,2021,1209
Prince_Edward_Island,2022,3436
Nova_Scotia,2018,5137
Nova_Scotia,2019,6395
Nova_Scotia,2020,6234
Nova_Scotia,2021,3540
Nova_Scotia,2022,13816
New_Brunswick,2018,4116
New_Brunswick,2019,5076
New_Brunswick,2020,4910
New_Brunswick,2021,2689
New_Brunswick,2022,8401
Quebec,2018,47906
Quebec,2019,44866
Quebec,2020,33295
Quebec,2021,33673
Quebec,2022,62798
Ontario,2018,132472
Ontario,2019,139089
Ontario,2020,127112
Ontario,2021,107929
Ontario,2022,227235
Manitoba,2018,14160
Manitoba,2019,15915
Manitoba,2020,14782
Manitoba,2021,10197
Manitoba,2022,21340
Saskatchewan,2018,14995
Saskatchewan,2019,13911
Saskatchewan,2020,13369
Saskatchewan,2021,7327
Saskatchewan,2022,16281
Alberta,2018,38697
Alberta,2019,40732
Alberta,2020,35471
Alberta,2021,24007
Alberta,2022,52573
British_Columbia,2018,41916
British_Columbia,2019,43135
British_Columbia,2020,44805
British_Columbia,2021,34388
British_Columbia,2022,83200
Yukon,2018,263
Yukon,2019,310
Yukon,2020,336
Yukon,2021,300
Yukon,2022,663
Northwest_Territories,2018,255
Northwest_Territories,2019,227
Northwest_Territories,2020,161
Northwest_Territories,2021,144
Northwest_Territories,2022,346
Nunavut,2018,31
Nunavut,2019,25
Nunavut,2020,39
Nunavut,2021,21
Nunavut,2022,52
